|Cod_sector|;|Sub_sector|;|Sector|
|1525|;|Estaciones de servicio|;|Transporte|
|1527|;|Estaciones de servicio|;|Transporte|
|1528|;|Estaciones de servicio|;|Transporte|
|1529|;|Estaciones de servicio|;|Transporte|
|1530|;|Estaciones de servicio|;|Transporte|
|1531|;|Estaciones de servicio|;|Transporte|
|2013|;|Hoteles|;|Alojamiento|
|2014|;|Hoteles|;|Alojamiento|
|2111|;|Medios de Transporte|;|Transporte|
|2131|;|Medios de Transporte|;|Transporte|
|2133|;|Medios de Transporte|;|Transporte|
|2346|;|Estaciones de servicio|;|Transporte|
|2348|;|Medios de Transporte|;|Transporte|
|2364|;|Estaciones de servicio|;|Transporte|
|2367|;|Estaciones de servicio|;|Transporte|
|2369|;|Medios de Transporte|;|Transporte|
|2376|;|Parkings|;|Transporte|
|2380|;|Medios de Transporte|;|Transporte|
|2397|;|Parkings|;|Transporte|
|2401|;|Estaciones de servicio|;|Transporte|
|2412|;|Medios de Transporte|;|Transporte|
|2420|;|Estaciones de servicio|;|Transporte|
|2425|;|Medios de Transporte|;|Transporte|
|2434|;|Estaciones de servicio|;|Transporte|
|2520|;|Parkings|;|Transporte|
|2521|;|Estaciones de servicio|;|Transporte|
|2522|;|Estaciones de servicio|;|Transporte|
|2523|;|Parkings|;|Transporte|
|2524|;|Estaciones de servicio|;|Transporte|
|2525|;|Estaciones de servicio|;|Transporte|
|2527|;|Estaciones de servicio|;|Transporte|
|2528|;|Estaciones de servicio|;|Transporte|
|2529|;|Estaciones de servicio|;|Transporte|
|2530|;|Estaciones de servicio|;|Transporte|
|2531|;|Estaciones de servicio|;|Transporte|
|2541|;|Estaciones de servicio|;|Transporte|
|2543|;|Estaciones de servicio|;|Transporte|
|2548|;|Hoteles|;|Alojamiento|
|2946|;|Imagen, sonido e informática|;|Electrónica e Informática|
|3357|;|Alquiler de vehículos|;|Transporte|
|3381|;|Alquiler de vehículos|;|Transporte|
|3389|;|Alquiler de vehículos|;|Transporte|
|3548|;|Hoteles|;|Alojamiento|
|4011|;|Medios de Transporte|;|Transporte|
|4012|;|Medios de Transporte|;|Transporte|
|4013|;|Hoteles|;|Alojamiento|
|4111|;|Medios de Transporte|;|Transporte|
|4131|;|Medios de Transporte|;|Transporte|
|4132|;|Medios de Transporte|;|Transporte|
|4133|;|Medios de Transporte|;|Transporte|
|4214|;|Medios de Transporte|;|Transporte|
|4457|;|Alquiler de vehículos|;|Transporte|
|4784|;|Peajes|;|Transporte|
|4785|;|Peajes|;|Transporte|
|4786|;|Peajes|;|Transporte|
|4787|;|Peajes|;|Transporte|
|5211|;|Ferretería y Bricolaje|;|Hogar|
|5251|;|Ferretería y Bricolaje|;|Hogar|
|5311|;|Supermercados|;|Hipermercados y grandes superficies|
|5313|;|Juguetería y ocio|;|Hipermercados y grandes superficies|
|5314|;|Ferretería y Bricolaje|;|Hogar|
|5331|;|Alimentación|;|Alimentación|
|5333|;|Supermercados|;|Hipermercados y grandes superficies|
|5335|;|Supermercados|;|Hipermercados y grandes superficies|
|5338|;|Supermercados|;|Hipermercados y grandes superficies|
|5422|;|Supermercados|;|Hipermercados y grandes superficies|
|5441|;|Ropa y Complementos|;|Moda|
|5499|;|Alimentación|;|Alimentación|
|5531|;|Menaje|;|Hogar|
|5533|;|Taller y Automoción|;|Transporte|
|5541|;|Estaciones de servicio|;|Transporte|
|5542|;|Estaciones de servicio|;|Transporte|
|5543|;|Estaciones de servicio|;|Transporte|
|5611|;|Ropa y Complementos|;|Moda|
|5661|;|Zapaterías|;|Moda|
|5681|;|Ropa y Complementos|;|Moda|
|5712|;|Muebles y decoración|;|Hogar|
|5714|;|Accesorios para Hogar|;|Hogar|
|5722|;|Electrodomésticos|;|Hogar|
|5732|;|Imagen, sonido e informática|;|Electrónica e Informática|
|5733|;|Instrumentos musicales|;|Ocio|
|5811|;|Restaurantes|;|Bares y Restaurantes|
|5812|;|Restaurantes|;|Bares y Restaurantes|
|5813|;|Bares y Cafeterias|;|Bares y Restaurantes|
|5814|;|Comida Rapida|;|Bares y Restaurantes|
|5911|;|Perfumería y cosmética|;|Cuidado y Belleza|
|5939|;|Juguetería y ocio|;|Hipermercados y grandes superficies|
|5944|;|Joyería y Relojería|;|Moda|
|5945|;|Juguetería y ocio|;|Deportes y Juguetes|
|5946|;|Imagen, sonido e informática|;|Electrónica e Informática|
|5947|;|Juguetería y ocio|;|Deportes y Juguetes|
|5951|;|Juguetería y ocio|;|Deportes y Juguetes|
|5952|;|Ropa y Complementos|;|Moda|
|5955|;|Moda Infantil|;|Moda|
|5956|;|Comida Rapida|;|Bares y Restaurantes|
|5957|;|Ropa y Complementos|;|Moda|
|5959|;|Supermercados|;|Hipermercados y grandes superficies|
|5967|;|Imagen, sonido e informática|;|Electrónica e Informática|
|5992|;|Floristería|;|Hogar|
